individual_id,name,sex,age_class,group_id,dominance_rank,mother_id,true_father_id
SB001,Susa_Dom,M,silverback,G1,1.0,,
SB002,Susa_Sub1,M,silverback,G1,2.0,,
SB003,Susa_Sub2,M,silverback,G1,3.0,,
AF004,Susa_AF1,F,adult,G1,,,
AF005,Susa_AF2,F,adult,G1,,,
AF006,Susa_AF3,F,adult,G1,,,
AF007,Susa_AF4,F,adult,G1,,,
JUV008,Susa_OFF1,M,infant,G1,,AF005,SB002
JUV009,Susa_OFF2,F,infant,G1,,AF004,UNSAMPLED
JUV010,Susa_OFF3,F,juvenile,G1,,AF007,SB003
SB011,Amahoro_Dom,M,silverback,G2,1.0,,
SB012,Amahoro_Sub1,M,silverback,G2,2.0,,
AF013,Amahoro_AF1,F,adult,G2,,,
AF014,Amahoro_AF2,F,adult,G2,,,
AF015,Amahoro_AF3,F,adult,G2,,,
AF016,Amahoro_AF4,F,adult,G2,,,
JUV017,Amahoro_OFF1,M,juvenile,G2,,AF014,SB011
JUV018,Amahoro_OFF2,M,juvenile,G2,,AF014,UNSAMPLED
JUV019,Amahoro_OFF3,F,infant,G2,,AF015,SB011
JUV020,Amahoro_OFF4,M,infant,G2,,AF014,SB011
SB021,Umubano_Dom,M,silverback,G3,1.0,,
AF022,Umubano_AF1,F,adult,G3,,,
AF023,Umubano_AF2,F,adult,G3,,,
AF024,Umubano_AF3,F,adult,G3,,,
AF025,Umubano_AF4,F,adult,G3,,,
AF026,Umubano_AF5,F,adult,G3,,,
AF027,Umubano_AF6,F,adult,G3,,,
JUV028,Umubano_OFF1,M,infant,G3,,AF022,UNSAMPLED
JUV029,Umubano_OFF2,F,juvenile,G3,,AF025,SB021
JUV030,Umubano_OFF3,F,infant,G3,,AF027,UNSAMPLED
JUV031,Umubano_OFF4,F,infant,G3,,AF024,UNSAMPLED
JUV032,Umubano_OFF5,M,infant,G3,,AF024,SB021
SB033,Sabyinyo_Dom,M,silverback,G4,1.0,,
SB034,Sabyinyo_Sub1,M,silverback,G4,2.0,,
AF035,Sabyinyo_AF1,F,adult,G4,,,
AF036,Sabyinyo_AF2,F,adult,G4,,,
AF037,Sabyinyo_AF3,F,adult,G4,,,
AF038,Sabyinyo_AF4,F,adult,G4,,,
AF039,Sabyinyo_AF5,F,adult,G4,,,
JUV040,Sabyinyo_OFF1,M,juvenile,G4,,AF038,SB033
JUV041,Sabyinyo_OFF2,M,infant,G4,,AF038,SB033
SB042,Hirwa_Dom,M,silverback,G5,1.0,,
SB043,Hirwa_Sub1,M,silverback,G5,2.0,,
SB044,Hirwa_Sub2,M,silverback,G5,3.0,,
AF045,Hirwa_AF1,F,adult,G5,,,
AF046,Hirwa_AF2,F,adult,G5,,,
AF047,Hirwa_AF3,F,adult,G5,,,
AF048,Hirwa_AF4,F,adult,G5,,,
AF049,Hirwa_AF5,F,adult,G5,,,
AF050,Hirwa_AF6,F,adult,G5,,,
JUV051,Hirwa_OFF1,F,juvenile,G5,,AF050,SB042
JUV052,Hirwa_OFF2,F,infant,G5,,AF046,UNSAMPLED
JUV053,Hirwa_OFF3,M,infant,G5,,AF049,SB042
JUV054,Hirwa_OFF4,F,juvenile,G5,,AF046,SB042
SB055,Kwitonda_Dom,M,silverback,G6,1.0,,
AF056,Kwitonda_AF1,F,adult,G6,,,
AF057,Kwitonda_AF2,F,adult,G6,,,
AF058,Kwitonda_AF3,F,adult,G6,,,
AF059,Kwitonda_AF4,F,adult,G6,,,
AF060,Kwitonda_AF5,F,adult,G6,,,
AF061,Kwitonda_AF6,F,adult,G6,,,
JUV062,Kwitonda_OFF1,M,infant,G6,,AF056,SB055
JUV063,Kwitonda_OFF2,F,infant,G6,,AF060,SB055
