id1,id2,r_qg,n_loci_qg,r_lr,pas,n_loci_pas
SB001,SB002,-0.208657,13,-0.371029,0.038462,13
SB001,SB003,0.008188,11,0.209705,0.181818,11
SB001,AF004,0.0397,13,0.003176,0.192308,13
SB001,AF005,0.012272,13,0.02185,0.173077,13
SB001,AF006,0.026206,13,0.059725,0.192308,13
SB001,AF007,0.048432,13,0.173478,0.192308,13
SB001,JUV008,-0.076276,12,-0.112787,0.104167,12
SB001,JUV009,0.147957,13,0.193731,0.269231,13
SB001,JUV010,0.037306,11,0.225846,0.227273,11
SB001,SB011,-0.111119,12,-0.245485,0.083333,12
SB001,SB012,-0.089727,13,-0.145168,0.115385,13
SB001,AF013,-0.084725,11,-0.212031,0.090909,11
SB001,AF014,-0.025518,13,0.084622,0.173077,13
SB001,AF015,0.004813,13,0.022881,0.153846,13
SB001,AF016,-0.087718,13,-0.168489,0.115385,13
SB001,JUV017,0.031427,13,0.210022,0.230769,13
SB001,JUV018,0.053145,13,0.195843,0.230769,13
SB001,JUV019,0.026312,13,0.24149,0.192308,13
SB001,JUV020,0.017849,13,0.219005,0.230769,13
SB001,SB021,0.032593,13,0.167056,0.211538,13
SB001,AF022,0.004277,12,-0.03223,0.145833,12
SB001,AF023,0.034483,12,0.018437,0.208333,12
SB001,AF024,-0.107845,12,-0.217895,0.0625,12
SB001,AF025,-0.057238,13,-0.100782,0.115385,13
SB001,AF026,0.068031,12,0.082812,0.229167,12
SB001,AF027,-0.014997,12,0.020839,0.1875,12
SB001,JUV028,-0.033941,11,-0.151738,0.136364,11
SB001,JUV029,-0.018881,12,0.031675,0.145833,12
SB001,JUV030,-0.052216,12,-0.058721,0.166667,12
SB001,JUV031,-0.120997,13,-0.26615,0.057692,13
SB001,JUV032,-0.016582,11,-0.032855,0.181818,11
SB001,SB033,0.022503,11,-0.067943,0.181818,11
SB001,SB034,-0.103513,11,-0.246001,0.090909,11
SB001,AF035,0.008761,13,-0.023694,0.173077,13
SB001,AF036,0.029011,13,0.222029,0.230769,13
SB001,AF037,0.001506,12,-0.008101,0.208333,12
SB001,AF038,0.016979,12,-0.035519,0.166667,12
SB001,AF039,-0.075368,12,-0.17167,0.125,12
SB001,JUV040,0.010355,13,0.001646,0.211538,13
SB001,JUV041,0.014805,13,-0.051168,0.173077,13
SB001,SB042,-0.012893,13,0.060509,0.173077,13
SB001,SB043,0.014877,11,0.132246,0.227273,11
SB001,SB044,-0.067983,13,-0.162183,0.134615,13
SB001,AF045,0.000772,13,0.006792,0.173077,13
SB001,AF046,-0.08731,13,-0.191144,0.115385,13
SB001,AF047,0.00365,13,-0.113995,0.153846,13
SB001,AF048,-0.070808,12,-0.147304,0.125,12
SB001,AF049,-0.109488,12,-0.248726,0.083333,12
SB001,AF050,-0.021613,11,-0.015983,0.181818,11
SB001,JUV051,0.025465,12,0.146071,0.1875,12
SB001,JUV052,0.089634,12,0.051784,0.25,12
SB001,JUV053,-0.12404,13,-0.184313,0.096154,13
SB001,JUV054,-0.010118,12,0.019199,0.208333,12
SB001,SB055,-0.010368,11,-0.078773,0.204545,11
SB001,AF056,-0.10842,13,-0.187463,0.076923,13
SB001,AF057,0.040876,12,0.052873,0.208333,12
SB001,AF058,0.040636,12,0.003497,0.208333,12
SB001,AF059,0.063403,12,0.222912,0.25,12
SB001,AF060,0.102695,12,0.270397,0.291667,12
SB001,AF061,0.055094,13,0.031161,0.230769,13
SB001,JUV062,-2.7e-05,12,-0.025279,0.145833,12
SB001,JUV063,0.032179,12,0.164981,0.229167,12
SB002,SB003,-0.082659,13,-0.138695,0.153846,13
SB002,AF004,-0.136534,15,-0.256915,0.1,15
SB002,AF005,-0.039837,15,-0.07171,0.166667,15
SB002,AF006,-0.025093,15,0.056579,0.2,15
SB002,AF007,-0.125446,15,-0.223786,0.083333,15
SB002,JUV008,0.333656,14,0.461893,0.482143,14
