locus,n,n_alleles,Ho,He,F_is,chi2,p_value,PIC,PE,HWE_fail
D2S1338,59,13,0.7119,0.8862,0.1968,17.7942,0.0,0.876,0.7751,True
D3S1358,60,7,0.65,0.8249,0.212,12.6991,0.0004,0.8012,0.6567,True
D5S818,57,9,0.7895,0.827,0.0454,0.5618,0.4535,0.8059,0.6628,False
D7S820,58,9,0.7759,0.8291,0.0642,1.1588,0.2817,0.8087,0.667,False
D8S1179,53,9,0.7547,0.8491,0.1111,3.6806,0.0551,0.8312,0.703,False
D13S317,62,7,0.6774,0.8037,0.1571,6.2694,0.0123,0.7784,0.6206,False
D16S539,62,7,0.7581,0.8258,0.0821,1.9796,0.1594,0.8023,0.6585,False
D18S51,59,11,0.7119,0.8065,0.1174,3.3877,0.0657,0.7906,0.6346,False
D19S433,61,6,0.5738,0.7044,0.1854,4.9974,0.0254,0.6727,0.4645,False
D21S11,59,11,0.7288,0.8532,0.1458,7.2887,0.0069,0.8367,0.7114,False
vWA,61,8,0.6557,0.7386,0.1122,2.172,0.1405,0.71,0.517,False
FGA,60,12,0.7,0.875,0.2,16.8,0.0,0.8631,0.7537,True
CSF1PO,61,7,0.7049,0.7734,0.0886,1.6349,0.201,0.7367,0.5615,False
TPOX,62,6,0.6452,0.7591,0.1501,4.4019,0.0359,0.7213,0.5384,False
TH01,60,7,0.6833,0.8306,0.1773,9.2406,0.0024,0.809,0.6683,True
