offspring_id,mother_id,assigned_father,lod_score,delta_lod,confidence,n_candidates,n_valid_cands,sire_name,sire_group,sire_rank,offspring_group,true_father_id,extra_group_sire
JUV008,AF005,,,,NONE,12,0,,,,G1,SB002,
JUV009,AF004,,,,NONE,12,0,,,,G1,UNSAMPLED,
JUV010,AF007,,,,NONE,12,0,,,,G1,SB003,
JUV017,AF014,,,,NONE,12,0,,,,G2,SB011,
JUV018,AF014,,,,NONE,12,0,,,,G2,UNSAMPLED,
JUV019,AF015,SB011,6.3399,6.3399,HIGH,12,1,Amahoro_Dom,G2,1.0,G2,SB011,False
JUV020,AF014,SB011,0.5851,0.5851,LOW,12,1,Amahoro_Dom,G2,1.0,G2,SB011,False
JUV028,AF022,,,,NONE,12,0,,,,G3,UNSAMPLED,
JUV029,AF025,SB021,0.9689,0.9689,LOW,12,1,Umubano_Dom,G3,1.0,G3,SB021,False
JUV030,AF027,,,,NONE,12,0,,,,G3,UNSAMPLED,
JUV031,AF024,,,,NONE,12,0,,,,G3,UNSAMPLED,
JUV032,AF024,,,,NONE,12,0,,,,G3,SB021,
JUV040,AF038,,,,NONE,12,0,,,,G4,SB033,
JUV041,AF038,SB033,1.1094,1.1094,MEDIUM,12,1,Sabyinyo_Dom,G4,1.0,G4,SB033,False
JUV051,AF050,,,,NONE,12,0,,,,G5,SB042,
JUV052,AF046,,,,NONE,12,0,,,,G5,UNSAMPLED,
JUV053,AF049,,,,NONE,12,0,,,,G5,SB042,
JUV054,AF046,,,,NONE,12,0,,,,G5,SB042,
JUV062,AF056,,,,NONE,12,0,,,,G6,SB055,
JUV063,AF060,,,,NONE,12,0,,,,G6,SB055,
