locus,n_alleles,Ho,He,F_is,PIC,p_HWE,max_allele_freq
D2S1338,13,0.7119,0.8862,0.1968,0.876,0.0,0.2034
D3S1358,7,0.65,0.8249,0.212,0.8012,0.0004,0.2417
D5S818,9,0.7895,0.827,0.0454,0.8059,0.4535,0.2807
D7S820,9,0.7759,0.8291,0.0642,0.8087,0.2817,0.2845
D8S1179,9,0.7547,0.8491,0.1111,0.8312,0.0551,0.2264
D13S317,7,0.6774,0.8037,0.1571,0.7784,0.0123,0.3226
D16S539,7,0.7581,0.8258,0.0821,0.8023,0.1594,0.2419
D18S51,11,0.7119,0.8065,0.1174,0.7906,0.0657,0.3814
D19S433,6,0.5738,0.7044,0.1854,0.6727,0.0254,0.4836
D21S11,11,0.7288,0.8532,0.1458,0.8367,0.0069,0.2119
vWA,8,0.6557,0.7386,0.1122,0.71,0.1405,0.4426
FGA,12,0.7,0.875,0.2,0.8631,0.0,0.225
CSF1PO,7,0.7049,0.7734,0.0886,0.7367,0.201,0.2705
TPOX,6,0.6452,0.7591,0.1501,0.7213,0.0359,0.3468
TH01,7,0.6833,0.8306,0.1773,0.809,0.0024,0.2667
