locus,allele,frequency
D2S1338,19,0.088031
D2S1338,20,0.050351
D2S1338,21,0.045825
D2S1338,22,0.045825
D2S1338,23,0.188828
D2S1338,24,0.108582
D2S1338,25,0.035884
D2S1338,26,0.091311
D2S1338,27,0.071228
D2S1338,28,0.003942
D2S1338,29,0.018643
D2S1338,30,0.075756
D2S1338,31,0.175792
D3S1358,14,0.158669
D3S1358,15,0.113491
D3S1358,16,0.217993
D3S1358,17,0.106533
D3S1358,18,0.148487
D3S1358,19,0.194604
D3S1358,20,0.060223
D5S818,7,0.178673
D5S818,8,0.021943
D5S818,9,0.108186
D5S818,10,0.167809
D5S818,11,0.105797
D5S818,12,0.081279
D5S818,13,0.067649
D5S818,14,0.057221
D5S818,15,0.211442
D7S820,6,0.12823
D7S820,7,0.065911
D7S820,8,0.047696
D7S820,9,0.161839
D7S820,10,0.220654
D7S820,11,0.205558
D7S820,12,0.039198
D7S820,13,0.071306
D7S820,14,0.059608
D8S1179,10,0.061625
D8S1179,11,0.143927
D8S1179,12,0.20997
D8S1179,13,0.101036
D8S1179,14,0.03779
D8S1179,15,0.071145
D8S1179,16,0.239844
D8S1179,17,0.079646
D8S1179,18,0.055016
D13S317,8,0.10462
D13S317,9,0.176722
D13S317,10,0.054591
D13S317,11,0.077963
D13S317,12,0.272426
D13S317,13,0.172575
D13S317,14,0.141103
D16S539,9,0.322397
D16S539,10,0.070711
D16S539,11,0.106842
D16S539,12,0.191235
D16S539,13,0.185603
D16S539,14,0.026281
D16S539,15,0.096933
D18S51,12,0.046357
D18S51,13,0.076866
D18S51,14,0.067964
D18S51,15,0.050391
D18S51,16,0.003666
D18S51,17,0.052714
D18S51,18,0.057099
D18S51,19,0.294644
D18S51,20,0.044967
D18S51,21,0.070561
D18S51,22,0.133727
D18S51,23,0.101046
D19S433,12,0.56275
D19S433,13,0.034936
D19S433,14,0.064021
D19S433,15,0.107496
D19S433,16,0.027121
D19S433,17,0.203675
D21S11,27,0.028248
D21S11,28,0.248362
D21S11,29,0.033518
D21S11,30,0.056155
D21S11,31,0.150526
D21S11,32,0.018334
D21S11,33,0.009837
D21S11,34,0.090778
D21S11,35,0.096893
D21S11,36,0.147023
D21S11,37,0.120326
vWA,14,0.12324
vWA,15,0.046732
vWA,16,0.116597
vWA,17,0.122831
vWA,18,0.044877
vWA,19,0.370676
vWA,20,0.142663
vWA,21,0.032383
FGA,19,0.123822
FGA,20,0.140805
FGA,21,0.092408
FGA,22,0.05092
FGA,23,0.029144
FGA,24,0.059995
FGA,25,0.087078
FGA,26,0.065269
FGA,27,0.196024
FGA,28,0.109523
FGA,29,0.025656
FGA,30,0.019354
CSF1PO,9,0.212564
CSF1PO,10,0.113123
CSF1PO,11,0.25474
CSF1PO,12,0.210986
CSF1PO,13,0.130928
CSF1PO,14,0.056495
CSF1PO,15,0.021165
TPOX,8,0.28146
TPOX,9,0.054183
TPOX,10,0.089348
TPOX,11,0.266961
TPOX,12,0.245051
TPOX,13,0.062997
TH01,5,0.178962
TH01,6,0.175354
TH01,7,0.117286
TH01,8,0.117169
TH01,9,0.117288
TH01,10,0.16341
TH01,11,0.130532
