individual_id,D2S1338_a1,D2S1338_a2,D3S1358_a1,D3S1358_a2,D5S818_a1,D5S818_a2,D7S820_a1,D7S820_a2,D8S1179_a1,D8S1179_a2,D13S317_a1,D13S317_a2,D16S539_a1,D16S539_a2,D18S51_a1,D18S51_a2,D19S433_a1,D19S433_a2,D21S11_a1,D21S11_a2,vWA_a1,vWA_a2,FGA_a1,FGA_a2,CSF1PO_a1,CSF1PO_a2,TPOX_a1,TPOX_a2,TH01_a1,TH01_a2
SB001,20.0,20.0,17.0,14.0,11.0,11.0,,,10.0,10.0,13.0,13.0,9.0,12.0,22.0,15.0,14.0,12.0,28.0,32.0,19.0,19.0,,,11.0,11.0,12.0,8.0,7.0,5.0
SB002,19.0,31.0,19.0,18.0,10.0,7.0,7.0,9.0,14.0,16.0,12.0,9.0,15.0,13.0,19.0,19.0,12.0,12.0,30.0,36.0,14.0,14.0,19.0,19.0,13.0,12.0,11.0,11.0,8.0,8.0
SB003,21.0,24.0,16.0,18.0,12.0,7.0,9.0,11.0,13.0,16.0,12.0,9.0,9.0,12.0,12.0,19.0,17.0,13.0,31.0,35.0,19.0,19.0,22.0,22.0,,,,,5.0,5.0
AF004,20.0,27.0,14.0,16.0,15.0,7.0,11.0,11.0,11.0,16.0,12.0,14.0,13.0,13.0,17.0,17.0,15.0,17.0,37.0,31.0,17.0,19.0,21.0,28.0,13.0,11.0,12.0,12.0,5.0,11.0
AF005,24.0,31.0,16.0,19.0,10.0,7.0,13.0,6.0,12.0,18.0,14.0,14.0,12.0,12.0,17.0,18.0,15.0,15.0,37.0,36.0,14.0,19.0,19.0,25.0,11.0,13.0,10.0,8.0,5.0,5.0
AF006,26.0,20.0,14.0,18.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,15.0,23.0,21.0,12.0,12.0,36.0,34.0,18.0,20.0,19.0,24.0,9.0,11.0,8.0,8.0,5.0,9.0
AF007,26.0,26.0,20.0,20.0,9.0,15.0,8.0,14.0,10.0,18.0,8.0,14.0,12.0,15.0,13.0,19.0,17.0,12.0,34.0,35.0,19.0,19.0,26.0,28.0,9.0,10.0,13.0,12.0,7.0,9.0
JUV008,19.0,19.0,16.0,18.0,10.0,7.0,7.0,7.0,18.0,14.0,9.0,9.0,,,18.0,19.0,15.0,12.0,36.0,36.0,14.0,14.0,19.0,19.0,11.0,13.0,8.0,8.0,10.0,8.0
JUV009,20.0,22.0,16.0,16.0,15.0,12.0,11.0,14.0,16.0,16.0,14.0,13.0,13.0,12.0,14.0,22.0,15.0,15.0,37.0,31.0,19.0,20.0,28.0,19.0,11.0,13.0,12.0,12.0,5.0,7.0
JUV010,26.0,24.0,16.0,16.0,9.0,12.0,8.0,9.0,18.0,18.0,8.0,12.0,9.0,9.0,,,17.0,13.0,,,19.0,19.0,22.0,22.0,9.0,9.0,12.0,8.0,7.0,5.0
SB011,31.0,31.0,19.0,16.0,10.0,9.0,6.0,12.0,16.0,18.0,14.0,12.0,13.0,15.0,22.0,17.0,,,37.0,34.0,16.0,19.0,,,9.0,12.0,11.0,12.0,8.0,10.0
SB012,25.0,25.0,19.0,16.0,7.0,7.0,,,16.0,12.0,9.0,8.0,10.0,12.0,19.0,19.0,17.0,12.0,31.0,36.0,17.0,19.0,28.0,28.0,9.0,14.0,11.0,8.0,7.0,11.0
AF013,24.0,23.0,,,7.0,7.0,6.0,7.0,11.0,16.0,9.0,11.0,14.0,11.0,20.0,20.0,,,28.0,29.0,16.0,14.0,19.0,24.0,9.0,11.0,11.0,11.0,5.0,10.0
AF014,26.0,19.0,19.0,19.0,7.0,9.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,10.0,19.0,21.0,12.0,12.0,35.0,37.0,19.0,19.0,19.0,24.0,11.0,10.0,10.0,10.0,5.0,6.0
AF015,22.0,22.0,14.0,19.0,12.0,13.0,11.0,10.0,11.0,14.0,12.0,13.0,11.0,11.0,17.0,19.0,14.0,13.0,30.0,37.0,19.0,16.0,19.0,20.0,10.0,9.0,8.0,9.0,5.0,11.0
