individual_id,D2S1338_a1_true,D2S1338_a2_true,D3S1358_a1_true,D3S1358_a2_true,D5S818_a1_true,D5S818_a2_true,D7S820_a1_true,D7S820_a2_true,D8S1179_a1_true,D8S1179_a2_true,D13S317_a1_true,D13S317_a2_true,D16S539_a1_true,D16S539_a2_true,D18S51_a1_true,D18S51_a2_true,D19S433_a1_true,D19S433_a2_true,D21S11_a1_true,D21S11_a2_true,vWA_a1_true,vWA_a2_true,FGA_a1_true,FGA_a2_true,CSF1PO_a1_true,CSF1PO_a2_true,TPOX_a1_true,TPOX_a2_true,TH01_a1_true,TH01_a2_true
SB001,23,20,17,14,10,11,9,10,10,10,13,11,9,12,22,15,14,12,28,32,19,19,27,29,11,10,12,8,7,5
SB002,19,31,19,18,10,7,7,9,14,16,12,9,15,13,19,19,12,12,30,36,14,14,19,19,13,12,11,8,8,8
SB003,21,24,16,18,12,7,9,11,13,16,12,9,9,12,12,19,17,13,31,35,19,19,28,22,14,13,8,8,5,5
AF004,20,27,14,16,15,7,11,9,11,16,12,14,13,13,17,14,15,17,37,31,17,19,21,28,13,11,12,12,5,11
AF005,24,31,16,19,10,7,13,6,12,18,14,12,12,11,17,18,15,15,36,36,14,19,19,25,11,13,10,8,5,10
AF006,26,20,14,18,7,15,11,6,11,18,11,11,13,15,23,21,12,12,36,34,18,20,19,24,9,11,8,8,5,9
AF007,29,26,20,16,9,15,8,14,10,18,8,14,12,15,13,19,17,12,34,35,19,19,26,28,9,10,13,12,7,9
JUV008,24,19,16,18,10,7,13,7,18,14,14,9,11,13,18,19,15,12,36,36,14,14,19,19,11,13,8,8,10,8
JUV009,20,22,16,16,15,12,11,14,16,16,14,13,13,12,14,22,17,15,37,31,19,20,28,19,11,13,12,13,5,7
JUV010,26,24,16,16,9,12,8,9,18,16,8,12,15,9,13,19,17,13,34,35,19,19,28,22,9,14,12,8,7,5
SB011,31,31,19,16,10,9,6,12,16,18,14,12,13,15,22,17,12,12,37,34,16,19,26,22,9,12,11,12,8,10
